# Title: August 2025 Contiguous U.S. County Palmer Drought Severity Index (PDSI)
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,1.97,109,2.25,-0.28
AL-003,Baldwin County,Alabama,0,64,0.03,-0.03
AL-005,Barbour County,Alabama,1.09,93,1.35,-0.26
AL-007,Bibb County,Alabama,1.11,99,1.42,-0.31
AL-009,Blount County,Alabama,1.61,95,1.56,0.05
AL-011,Bullock County,Alabama,1.7,101,1.87,-0.17
AL-013,Butler County,Alabama,-1.31,45,-0.95,-0.36
AL-015,Calhoun County,Alabama,2.05,109,2.21,-0.16
AL-017,Chambers County,Alabama,0.93,91,1.26,-0.33
AL-019,Cherokee County,Alabama,0.88,86,1,-0.12
AL-021,Chilton County,Alabama,1.76,110,2.16,-0.4
AL-023,Choctaw County,Alabama,0.83,91,0.97,-0.14
AL-025,Clarke County,Alabama,-0.89,53,-0.62,-0.27
AL-027,Clay County,Alabama,1.74,99,1.78,-0.04
AL-029,Cleburne County,Alabama,1.29,93,1.48,-0.19
AL-031,Coffee County,Alabama,1.29,97,1.49,-0.2
AL-033,Colbert County,Alabama,1.86,99,1.87,-0.01
AL-035,Conecuh County,Alabama,-1.37,50,-0.89,-0.48
AL-037,Coosa County,Alabama,1.34,100,1.68,-0.34
AL-039,Covington County,Alabama,-1.2,49,-0.88,-0.32
AL-041,Crenshaw County,Alabama,1.19,99,1.51,-0.32
AL-043,Cullman County,Alabama,1.12,89,1.2,-0.08
AL-045,Dale County,Alabama,0.87,84,1,-0.13
AL-047,Dallas County,Alabama,-1.63,41,-1.39,-0.24
AL-049,DeKalb County,Alabama,0.83,87,0.93,-0.1
AL-051,Elmore County,Alabama,2.6,118,3.01,-0.41
AL-053,Escambia County,Alabama,-0.72,57,-0.45,-0.27
AL-055,Etowah County,Alabama,0.83,83,0.8,0.03
AL-057,Fayette County,Alabama,2.69,114,2.78,-0.09
AL-059,Franklin County,Alabama,1.86,99,1.92,-0.06
AL-061,Geneva County,Alabama,0.78,86,0.96,-0.18
AL-063,Greene County,Alabama,3.24,121,3.38,-0.14
AL-065,Hale County,Alabama,1.76,105,2,-0.24
AL-067,Henry County,Alabama,0,76,0.17,-0.17
AL-069,Houston County,Alabama,-1.15,46,-1.12,-0.03
AL-071,Jackson County,Alabama,1.48,94,1.51,-0.03
AL-073,Jefferson County,Alabama,1.36,93,1.42,-0.06
AL-075,Lamar County,Alabama,2.3,108,2.44,-0.14
AL-077,Lauderdale County,Alabama,1.15,88,1.1,0.05
AL-079,Lawrence County,Alabama,1.17,90,1.12,0.05
AL-081,Lee County,Alabama,-0.88,60,-0.46,-0.42
AL-083,Limestone County,Alabama,-1.2,40,-1.15,-0.05
AL-085,Lowndes County,Alabama,1.65,101,1.8,-0.15
AL-087,Macon County,Alabama,1.39,96,1.62,-0.23
AL-089,Madison County,Alabama,-1.16,41,-1.06,-0.1
AL-091,Marengo County,Alabama,0.88,92,1.12,-0.24
AL-093,Marion County,Alabama,1.75,95,1.81,-0.06
AL-095,Marshall County,Alabama,1.48,94,1.43,0.05
AL-097,Mobile County,Alabama,0.9,81,0.86,0.04
AL-099,Monroe County,Alabama,-1.14,51,-0.75,-0.39
AL-101,Montgomery County,Alabama,2.85,121,3.11,-0.26
AL-103,Morgan County,Alabama,-1.47,38,-1.36,-0.11
AL-105,Perry County,Alabama,-1.29,50,-0.97,-0.32
AL-107,Pickens County,Alabama,3.2,119,3.43,-0.23
AL-109,Pike County,Alabama,1.92,105,2.09,-0.17
AL-111,Randolph County,Alabama,1.4,95,1.54,-0.14
AL-113,Russell County,Alabama,-0.75,62,-0.31,-0.44
AL-115,St. Clair County,Alabama,1.79,96,1.72,0.07
AL-117,Shelby County,Alabama,1.4,99,1.68,-0.28
AL-119,Sumter County,Alabama,1.82,105,2.21,-0.39
AL-121,Talladega County,Alabama,1.97,105,2.06,-0.09
AL-123,Tallapoosa County,Alabama,0.84,88,1.13,-0.29
AL-125,Tuscaloosa County,Alabama,1.65,102,1.77,-0.12
AL-127,Walker County,Alabama,1.32,88,1.38,-0.06
AL-129,Washington County,Alabama,0.73,79,0.77,-0.04
AL-131,Wilcox County,Alabama,-1.56,44,-1.18,-0.38
AL-133,Winston County,Alabama,0.97,82,0.97,0
AZ-001,Apache County,Arizona,-7.07,1,-7.03,-0.04
AZ-003,Cochise County,Arizona,-5.51,1,-5.95,0.44
AZ-005,Coconino County,Arizona,-7.04,2,-7.39,0.35
AZ-007,Gila County,Arizona,-6.6,1,-6.87,0.27
AZ-009,Graham County,Arizona,-6.57,1,-6.82,0.25
AZ-011,Greenlee County,Arizona,-6.29,2,-6.14,-0.15
AZ-012,La Paz County,Arizona,-3.71,4,-3.81,0.1
AZ-013,Maricopa County,Arizona,-4.23,2,-4.47,0.24
AZ-015,Mohave County,Arizona,-5.29,3,-5.23,-0.06
AZ-017,Navajo County,Arizona,-6.58,2,-6.85,0.27
AZ-019,Pima County,Arizona,-5.05,1,-5.31,0.26
AZ-021,Pinal County,Arizona,-4.93,1,-5.29,0.36
AZ-023,Santa Cruz County,Arizona,-6.11,1,-6.38,0.27
AZ-025,Yavapai County,Arizona,-5.5,2,-5.64,0.14
AZ-027,Yuma County,Arizona,-1.92,39,-1.93,0.01
AR-001,Arkansas County,Arkansas,-1.68,40,-1.66,-0.02
AR-003,Ashley County,Arkansas,0.93,86,1.02,-0.09
AR-005,Baxter County,Arkansas,3.46,119,3.29,0.17
AR-007,Benton County,Arkansas,2.42,109,2.26,0.16
AR-009,Boone County,Arkansas,1.2,89,1.05,0.15
AR-011,Bradley County,Arkansas,0.74,82,0.85,-0.11
AR-013,Calhoun County,Arkansas,0.73,79,0.75,-0.02
AR-015,Carroll County,Arkansas,1.15,92,0.97,0.18
AR-017,Chicot County,Arkansas,1.16,84,1.09,0.07
AR-019,Clark County,Arkansas,0.9,82,0.93,-0.03
AR-021,Clay County,Arkansas,1.29,89,1.23,0.06
AR-023,Cleburne County,Arkansas,0.56,78,0.63,-0.07
AR-025,Cleveland County,Arkansas,-0.82,51,-0.75,-0.07
AR-027,Columbia County,Arkansas,0,65,-0.08,0.08
AR-029,Conway County,Arkansas,2.39,110,2.32,0.07
AR-031,Craighead County,Arkansas,1.06,79,0.9,0.16
AR-033,Crawford County,Arkansas,2.01,104,1.95,0.06
AR-035,Crittenden County,Arkansas,2.58,109,2.31,0.27
AR-037,Cross County,Arkansas,1.63,96,1.58,0.05
AR-039,Dallas County,Arkansas,0.74,81,0.75,-0.01
